owner_type,owner_id,kind,target,display,raw_reference,confidence,scope,fixture_id,attribute,target_exists,source_path,source_file
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,100,1.0,explicit,101,DIM,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,5.1341186,1.0,explicit,101,PAN,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,100.62687,1.0,explicit,101,TILT,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,101,POSITIONMSPEED,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,101,LAMPCONTROL,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,101,COLORMIXER,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,1.5194819,1.0,explicit,101,COLORRGB1,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,29.782166,1.0,explicit,101,COLORRGB2,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,62.678078,1.0,explicit,101,COLORRGB3,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,41.025642,1.0,explicit,101,COLORRGB5,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,101,CTC,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,29.199999,1.0,explicit,101,COLORMIXMODE,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,101,PIXELEFFECTS,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,101,PIXELEFFECTSSPEED,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,101,PIXELEFFECTSFADE,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,68,1.0,explicit,101,ZOOM,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,18.897638,1.0,explicit,101,SHUTTER,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,100,1.0,explicit,102,DIM,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,7.8341289,1.0,explicit,102,PAN,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,102.58186,1.0,explicit,102,TILT,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,102,POSITIONMSPEED,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,102,LAMPCONTROL,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,102,COLORMIXER,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,1.5194819,1.0,explicit,102,COLORRGB1,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,29.782166,1.0,explicit,102,COLORRGB2,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,62.678078,1.0,explicit,102,COLORRGB3,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,41.025642,1.0,explicit,102,COLORRGB5,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,102,CTC,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,29.199999,1.0,explicit,102,COLORMIXMODE,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,102,PIXELEFFECTS,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,102,PIXELEFFECTSSPEED,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,0,1.0,explicit,102,PIXELEFFECTSFADE,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,68,1.0,explicit,102,ZOOM,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.16,0.16,18.897638,1.0,explicit,102,SHUTTER,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,-107.99583,1.0,explicit,103,PAN,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,71.299973,1.0,explicit,103,TILT,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,73.004265,1.0,explicit,103,COLORRGB1,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,44.042534,1.0,explicit,103,COLORRGB2,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,0.87315637,1.0,explicit,103,COLORRGB3,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,29.914539,1.0,explicit,103,COLORRGB5,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,87.5,1.0,explicit,103,ZOOM,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,-45.895908,1.0,explicit,104,PAN,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
cue,cue:2:2:Tram_Analyz_main_sequences.xml:3,preset_ref,preset:0.4,0.4,57.499924,1.0,explicit,104,TILT,True,Cue/CueDatas/CueData,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_main_sequences.xml
